,date,total_precipitation_sum,potential_evaporation_sum,temperature_2m_mean,surface_net_solar_radiation_mean,snow_depth_water_equivalent_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,streamflow
0,1981-01-01,0.0,18.22,8.47,135.63,0.01,0.28,0.29,0.29,0.27
1,1981-01-02,0.0,18.74,5.89,138.96,0.0,0.28,0.29,0.29,0.26
2,1981-01-03,0.0,17.05,6.71,135.16,0.0,0.27,0.29,0.29,0.26
3,1981-01-04,0.0,21.66,6.15,136.65,0.0,0.27,0.29,0.29,0.25
4,1981-01-05,0.0,18.57,1.87,129.72,0.0,0.26,0.28,0.29,0.25
5,1981-01-06,4.24,13.02,5.56,92.61,0.0,0.26,0.28,0.29,0.24
6,1981-01-07,7.4,8.3,4.43,84.72,0.0,0.36,0.3,0.29,0.28
7,1981-01-08,0.0,14.18,2.53,133.51,0.0,0.33,0.3,0.29,0.36
8,1981-01-09,0.0,10.39,3.49,80.13,0.0,0.32,0.3,0.29,0.42
9,1981-01-10,0.0,17.26,2.09,144.25,0.0,0.31,0.3,0.29,0.39
10,1981-01-11,0.0,17.49,0.27,140.75,0.0,0.3,0.3,0.29,0.36
11,1981-01-12,0.0,18.37,-2.7,151.35,0.0,0.29,0.3,0.29,0.34
12,1981-01-13,0.0,16.04,-0.24,149.73,0.0,0.29,0.3,0.29,0.31
13,1981-01-14,0.01,9.3,5.85,106.32,0.0,0.29,0.29,0.29,0.29
14,1981-01-15,0.02,13.38,8.52,126.54,0.0,0.28,0.29,0.29,0.29
15,1981-01-16,0.0,17.0,4.74,144.01,0.0,0.28,0.29,0.29,0.29
16,1981-01-17,0.0,22.8,0.77,153.22,0.0,0.27,0.29,0.29,0.28
17,1981-01-18,0.0,20.8,2.36,153.0,0.0,0.27,0.29,0.29,0.27
18,1981-01-19,0.0,19.38,6.64,134.96,0.0,0.26,0.28,0.29,0.26
19,1981-01-20,17.64,2.36,6.99,20.84,0.0,0.32,0.3,0.29,0.26
20,1981-01-21,0.04,8.99,5.77,52.28,0.0,0.34,0.33,0.29,0.27
21,1981-01-22,0.16,9.21,5.89,69.64,0.0,0.33,0.33,0.29,0.29
22,1981-01-23,0.0,11.06,6.51,96.62,0.0,0.32,0.32,0.29,0.3
23,1981-01-24,0.0,13.94,7.43,154.82,0.0,0.31,0.32,0.29,0.29
24,1981-01-25,0.0,16.61,8.93,155.07,0.0,0.31,0.32,0.29,0.28
25,1981-01-26,0.0,14.27,11.5,144.77,0.0,0.3,0.31,0.29,0.28
26,1981-01-27,3.76,9.21,13.39,86.36,0.0,0.3,0.31,0.29,0.27
27,1981-01-28,5.28,17.53,10.85,158.61,0.0,0.36,0.32,0.29,0.27
28,1981-01-29,0.0,19.86,9.65,161.38,0.0,0.33,0.32,0.29,0.28
29,1981-01-30,0.12,9.98,11.39,79.73,0.0,0.32,0.32,0.29,0.29
30,1981-01-31,0.07,19.45,7.48,56.36,0.0,0.31,0.32,0.29,0.28
31,1981-02-01,17.35,20.04,13.69,73.76,0.0,0.32,0.31,0.29,0.27
32,1981-02-02,7.87,22.69,3.52,165.44,0.0,0.38,0.37,0.29,0.4
33,1981-02-03,0.0,18.71,-0.4,174.75,0.0,0.36,0.36,0.29,0.62
34,1981-02-04,0.0,13.53,2.62,138.16,0.0,0.35,0.35,0.29,0.67
35,1981-02-05,0.84,13.66,3.07,153.83,0.0,0.34,0.35,0.3,0.58
36,1981-02-06,20.04,1.05,5.21,20.64,0.0,0.39,0.38,0.3,0.59
37,1981-02-07,0.91,0.99,8.76,31.58,0.0,0.38,0.38,0.31,0.7
38,1981-02-08,0.31,12.99,9.71,138.83,0.0,0.37,0.37,0.31,0.76
39,1981-02-09,0.0,17.96,7.14,170.9,0.0,0.35,0.36,0.31,0.67
40,1981-02-10,52.21,6.44,13.54,15.24,0.0,0.4,0.39,0.32,3.35
41,1981-02-11,4.02,21.66,6.07,163.86,0.0,0.38,0.4,0.36,10.89
42,1981-02-12,0.0,21.71,-1.04,180.22,0.0,0.36,0.38,0.36,8.24
